Year,Code_District,Name_Dist,Code_NBHD,Name_NBHD,Nationality,Amount,Average_Age
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Spaniards,4791,48.1065321805956
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Spaniards,2640,43.8959174517721
2019,10,Sant Martí,68,el Poblenou,Spaniards,10344,44.6778551301177
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Spaniards,4136,42.550270490966604
2019,10,Sant Martí,70,el Besòs i el Maresme,Spaniards,6181,48.45260832383121
2019,10,Sant Martí,71,Provençals del Poblenou,Spaniards,6769,45.27488828202579
2019,10,Sant Martí,72,Sant Martí de Provençals,Spaniards,9145,49.4645879949411
2019,10,Sant Martí,73,la Verneda i la Pau,Spaniards,9898,49.7551852663889
2019,1,Ciutat Vella,1,el Raval,Foreigners,5604,31.8813147461312
2019,1,Ciutat Vella,2,el Barri Gòtic,Foreigners,2336,32.8286259541985
2019,1,Ciutat Vella,3,la Barceloneta,Foreigners,2130,32.944364851958
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Foreigners,3291,33.1093497724938
2019,2,Eixample,5,el Fort Pienc,Foreigners,1696,31.961462666958603
2019,2,Eixample,6,la Sagrada Família,Foreigners,2684,32.3953873982514
2019,2,Eixample,7,la Dreta de l'Eixample,Foreigners,3131,33.0868876080692
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Foreigners,2662,33.3233264320221
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Foreigners,2768,33.016761448668106
2019,2,Eixample,10,Sant Antoni,Foreigners,2017,32.799068142108304
2019,3,Sants-Montjuïc,11,el Poble Sec,Foreigners,2903,32.400320256205
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Foreigners,21,34.3454545454545
2019,3,Sants-Montjuïc,13,la Marina de Port,Foreigners,926,31.2675573826653
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Foreigners,465,32.6083860759494
2019,3,Sants-Montjuïc,15,Hostafrancs,Foreigners,916,32.018402342116296
2019,3,Sants-Montjuïc,16,la Bordeta,Foreigners,518,31.9849279161206
2019,3,Sants-Montjuïc,17,Sants - Badal,Foreigners,896,31.6854707792208
2019,3,Sants-Montjuïc,18,Sants,Foreigners,1552,32.410127851591895
2019,4,Les Corts,19,les Corts,Foreigners,1365,33.0676714856967
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Foreigners,634,31.714801444043303
2019,4,Les Corts,21,Pedralbes,Foreigners,471,33.8353566009105
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Foreigners,160,33.06038647343
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Foreigners,769,32.1821801891488
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Foreigners,346,33.824940047961604
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Foreigners,726,32.5701598579041
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Foreigners,1625,33.6071820175439
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Foreigners,1194,33.3718298868513
2019,6,Gràcia,28,Vallcarca i els Penitents,Foreigners,583,32.987796123474496
2019,6,Gràcia,29,el Coll,Foreigners,261,32.2091194968553
2019,6,Gràcia,30,la Salut,Foreigners,447,32.414258188824704
2019,6,Gràcia,31,la Vila de Gràcia,Foreigners,3391,32.6221615406726
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Foreigners,1309,32.3493536625787
2019,7,Horta-Guinardó,33,el Baix Guinardó,Foreigners,837,32.864839319470704
2019,7,Horta-Guinardó,34,Can Baró,Foreigners,332,30.618713450292397
2019,7,Horta-Guinardó,35,el Guinardó,Foreigners,1124,32.2845117845118
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Foreigners,123,32.5387096774194
2019,7,Horta-Guinardó,37,el Carmel,Foreigners,961,31.8142614601019
2019,7,Horta-Guinardó,38,la Teixonera,Foreigners,367,31.3309644670051
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Foreigners,191,32.6613475177305
2019,7,Horta-Guinardó,40,Montbau,Foreigners,130,31.123036649214697
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Foreigners,96,30.6989247311828
2019,7,Horta-Guinardó,42,la Clota,Foreigners,17,30.4912280701754
2019,7,Horta-Guinardó,43,Horta,Foreigners,494,32.3887733887734
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Foreigners,611,32.1205357142857
2019,8,Nou Barris,45,Porta,Foreigners,650,31.777671755725198
2019,8,Nou Barris,46,el Turó de la Peira,Foreigners,548,31.6085526315789
2019,8,Nou Barris,47,Can Peguera,Foreigners,35,33.2427184466019
2019,8,Nou Barris,48,la Guineueta,Foreigners,188,32.3563579277865
