Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Us_del_local,Nombre
2017,2,Eixample,7,la Dreta de l'Eixample,Aparcaments,10743
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Aparcaments,9901
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Aparcaments,18068
2017,2,Eixample,10,Sant Antoni,Aparcaments,8447
2017,3,Sants-Montjuïc,11,el Poble Sec,Aparcaments,3788
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Aparcaments,1453
2017,3,Sants-Montjuïc,13,la Marina de Port,Aparcaments,9159
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Aparcaments,2899
2017,3,Sants-Montjuïc,15,Hostafrancs,Aparcaments,4623
2017,3,Sants-Montjuïc,16,la Bordeta,Aparcaments,4007
2017,3,Sants-Montjuïc,17,Sants - Badal,Aparcaments,5498
2017,3,Sants-Montjuïc,18,Sants,Aparcaments,9636
2017,4,Les Corts,19,les Corts,Aparcaments,19957
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Aparcaments,7537
2017,4,Les Corts,21,Pedralbes,Aparcaments,5238
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Aparcaments,836
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Aparcaments,9031
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Aparcaments,9053
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Aparcaments,10104
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Aparcaments,15695
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Aparcaments,11161
2017,6,Gràcia,28,Vallcarca i els Penitents,Aparcaments,5402
2017,6,Gràcia,29,el Coll,Aparcaments,1899
2017,6,Gràcia,30,la Salut,Aparcaments,3403
2017,6,Gràcia,31,la Vila de Gràcia,Aparcaments,8291
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Aparcaments,7806
2017,7,Horta-Guinardó,33,el Baix Guinardó,Aparcaments,4651
2017,7,Horta-Guinardó,34,Can Baró,Aparcaments,969
2017,7,Horta-Guinardó,35,el Guinardó,Aparcaments,7416
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Aparcaments,2562
2017,7,Horta-Guinardó,37,el Carmel,Aparcaments,4831
2017,7,Horta-Guinardó,38,la Teixonera,Aparcaments,3266
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Aparcaments,687
