Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,1,10,Sant Martí,71,Provençals del Poblenou,369.2,4521.6,Total
2019,1,10,Sant Martí,72,Sant Martí de Provençals,299.7,4119.0,Total
2019,1,10,Sant Martí,73,la Verneda i la Pau,167.0,2504.5,Total
2019,1,1,Ciutat Vella,1,el Raval,379.5,6523.6,New
2019,1,1,Ciutat Vella,2,el Barri Gòtic,556.4,5767.8,New
2019,1,1,Ciutat Vella,3,la Barceloneta,,,New
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",520.5,5191.1,New
2019,1,2,Eixample,5,el Fort Pienc,4687.5,15275.8,New
2019,1,2,Eixample,6,la Sagrada Família,,,New
2019,1,2,Eixample,7,la Dreta de l'Eixample,424.4,5088.9,New
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,283.0,3932.0,New
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,,,New
2019,1,2,Eixample,10,Sant Antoni,,,New
2019,1,3,Sants-Montjuïc,11,el Poble Sec,,,New
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,,New
2019,1,3,Sants-Montjuïc,13,la Marina de Port,,,New
2019,1,3,Sants-Montjuïc,14,la Font de la Guatlla,,,New
2019,1,3,Sants-Montjuïc,15,Hostafrancs,191.9,3601.3,New
2019,1,3,Sants-Montjuïc,16,la Bordeta,,,New
2019,1,3,Sants-Montjuïc,17,Sants - Badal,,,New
2019,1,3,Sants-Montjuïc,18,Sants,,,New
2019,1,4,Les Corts,19,les Corts,522.1,6116.1,New
2019,1,4,Les Corts,20,la Maternitat i Sant Ramon,,,New
2019,1,4,Les Corts,21,Pedralbes,,,New
2019,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",,,New
2019,1,5,Sarrià-Sant Gervasi,23,Sarrià,,,New
2019,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,,,New
2019,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,416.5,4899.7,New
2019,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,862.1,6843.5,New
2019,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,431.0,4514.2,New
2019,1,6,Gràcia,28,Vallcarca i els Penitents,205.5,3973.1,New
2019,1,6,Gràcia,29,el Coll,108.8,1942.0,New
2019,1,6,Gràcia,30,la Salut,,,New
2019,1,6,Gràcia,31,la Vila de Gràcia,437.7,4731.5,New
2019,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,,,New
2019,1,7,Horta-Guinardó,33,el Baix Guinardó,,,New
2019,1,7,Horta-Guinardó,34,Can Baró,,,New
2019,1,7,Horta-Guinardó,35,el Guinardó,,,New
2019,1,7,Horta-Guinardó,36,la Font d'en Fargues,,,New
2019,1,7,Horta-Guinardó,37,el Carmel,319.2,4298.3,New
2019,1,7,Horta-Guinardó,38,la Teixonera,136.4,2231.5,New
2019,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,,,New
2019,1,7,Horta-Guinardó,40,Montbau,,,New
2019,1,7,Horta-Guinardó,41,la Vall d'Hebron,,,New
2019,1,7,Horta-Guinardó,42,la Clota,170.0,2912.3,New
