"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2014,1,"Ciutat Vella",1,"el Raval","Tots espanyols",8892
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3665
2014,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",4498
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5747
2014,2,"Eixample",5,"el Fort Pienc","Tots espanyols",10116
2014,2,"Eixample",6,"la Sagrada Família","Tots espanyols",17651
2014,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",13919
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",13978
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",19799
2014,2,"Eixample",10,"Sant Antoni","Tots espanyols",12837
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",11218
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",398
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",10085
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3434
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",5091
2014,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6419
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",8285
2014,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",14117
2014,4,"Les Corts",19,"les Corts","Tots espanyols",16491
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8332
2014,4,"Les Corts",21,"Pedralbes","Tots espanyols",3419
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1251
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7368
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4764
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7879
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15430
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",9973
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5404
2014,6,"Gràcia",29,"el Coll","Tots espanyols",2510
2014,6,"Gràcia",30,"la Salut","Tots espanyols",4574
2014,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",17636
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12483
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",9193
2014,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3180
2014,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12821
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3406
2014,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",11018
