"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Tots espanyols",8815
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3545
2015,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",4412
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5720
2015,2,"Eixample",5,"el Fort Pienc","Tots espanyols",10068
2015,2,"Eixample",6,"la Sagrada Família","Tots espanyols",17533
2015,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",13831
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",13915
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",19885
2015,2,"Eixample",10,"Sant Antoni","Tots espanyols",12824
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",11068
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",398
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",10058
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3414
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",5076
2015,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6478
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",8236
2015,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",14112
2015,4,"Les Corts",19,"les Corts","Tots espanyols",16544
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8426
2015,4,"Les Corts",21,"Pedralbes","Tots espanyols",3434
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1254
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7407
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4793
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7945
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15499
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",9994
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5432
2015,6,"Gràcia",29,"el Coll","Tots espanyols",2538
2015,6,"Gràcia",30,"la Salut","Tots espanyols",4537
2015,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",17652
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12540
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",9161
2015,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3188
2015,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12889
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3411
2015,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",10951
2015,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols",4039
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols",2436
2015,7,"Horta-Guinardó",40,"Montbau","Tots espanyols",1868
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols",2066
2015,7,"Horta-Guinardó",42,"la Clota","Tots espanyols",217
2015,7,"Horta-Guinardó",43,"Horta","Tots espanyols",9566
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols",9104
2015,8,"Nou Barris",45,"Porta","Tots espanyols",8745
2015,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols",4943
2015,8,"Nou Barris",47,"Can Peguera","Tots espanyols",839
2015,8,"Nou Barris",48,"la Guineueta","Tots espanyols",5682
2015,8,"Nou Barris",49,"Canyelles","Tots espanyols",2651
2015,8,"Nou Barris",50,"les Roquetes","Tots espanyols",4697
2015,8,"Nou Barris",51,"Verdun","Tots espanyols",4214
2015,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",9339
2015,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",2400
2015,8,"Nou Barris",54,"Torre Baró","Tots espanyols",739
2015,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",2596
2015,8,"Nou Barris",56,"Vallbona","Tots espanyols",407
2015,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols",2507
2015,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols",836
2015,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols",3983
2015,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols",21375
2015,9,"Sant Andreu",61,"la Sagrera","Tots espanyols",10168
