"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Tots espanyols",8678
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3473
2016,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",4348
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5661
2016,2,"Eixample",5,"el Fort Pienc","Tots espanyols",9984
2016,2,"Eixample",6,"la Sagrada Família","Tots espanyols",17397
2016,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",13732
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",13838
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",19740
2016,2,"Eixample",10,"Sant Antoni","Tots espanyols",12706
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",11033
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",397
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",10048
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3393
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",5077
2016,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6467
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",8187
2016,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",14071
2016,4,"Les Corts",19,"les Corts","Tots espanyols",16471
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8410
2016,4,"Les Corts",21,"Pedralbes","Tots espanyols",3379
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1247
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7380
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4816
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7945
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15503
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",9984
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5350
2016,6,"Gràcia",29,"el Coll","Tots espanyols",2547
2016,6,"Gràcia",30,"la Salut","Tots espanyols",4533
2016,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",17465
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12480
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",9112
2016,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3186
2016,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12856
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3404
2016,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",10912
2016,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols",4008
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols",2433
2016,7,"Horta-Guinardó",40,"Montbau","Tots espanyols",1883
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols",2091
2016,7,"Horta-Guinardó",42,"la Clota","Tots espanyols",225
2016,7,"Horta-Guinardó",43,"Horta","Tots espanyols",9518
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols",9080
2016,8,"Nou Barris",45,"Porta","Tots espanyols",8767
2016,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols",4956
2016,8,"Nou Barris",47,"Can Peguera","Tots espanyols",823
2016,8,"Nou Barris",48,"la Guineueta","Tots espanyols",5666
2016,8,"Nou Barris",49,"Canyelles","Tots espanyols",2652
2016,8,"Nou Barris",50,"les Roquetes","Tots espanyols",4689
2016,8,"Nou Barris",51,"Verdun","Tots espanyols",4210
2016,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",9275
2016,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",2388
2016,8,"Nou Barris",54,"Torre Baró","Tots espanyols",732
2016,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",2587
